"","stem","tokens","num_chi"
"1","attack",6,3
"2","bite",119,33
"3","bump",36,17
"4","buy",366,51
"5","celebrate",5,4
"6","check",41,21
"7","choose",21,9
"8","cover",39,17
"9","drop",104,36
"10","give",859,56
"11","glue",23,8
"12","hang",70,27
"13","hold",338,55
"14","invite",15,7
"15","kick",128,29
"16","knot",1,1
"17","lick",35,19
"18","pet",11,8
"19","pull",163,45
"20","punch",73,21
"21","push",193,38
"22","sell",16,10
"23","stick",217,43
"24","tap",4,3
"25","teach",51,19
"26","tickle",42,15
"27","tie",108,33
